TrialIndex,Choice,CuePosition,Reward
1,right,right,yes
2,left,left,no
3,right,right,yes
4,left,left,no
5,left,left,no
6,left,right,no
7,left,left,no
8,left,right,no
9,left,left,no
10,right,right,yes
11,left,left,no
12,right,right,yes
13,left,left,no
14,left,right,no
15,right,right,yes
16,left,left,no
17,left,left,no
18,right,right,yes
19,left,right,no
20,left,left,no
21,right,right,yes
22,left,left,no
23,left,right,no
24,left,left,no
25,omission,right,no
26,omission,left,no
27,omission,right,no
28,right,left,yes
29,left,right,no
30,left,left,no
31,right,right,yes
32,left,left,no
33,left,left,no
34,right,right,yes
35,right,right,yes
36,left,left,no
37,left,left,no
38,left,right,no
39,right,right,yes
40,right,left,yes
41,right,right,yes
42,right,left,yes
43,right,left,yes
44,right,right,yes
45,left,left,no
46,right,right,yes
47,right,right,yes
48,right,left,yes
49,right,right,yes
50,left,left,no
51,right,right,yes
52,right,left,yes
53,right,right,yes
54,left,left,no
55,right,right,yes
56,left,left,no
57,omission,right,no
58,left,left,no
59,right,right,yes
60,right,left,yes
61,right,right,yes
62,left,left,no
63,left,left,no
64,right,right,yes
65,right,right,yes
66,right,left,yes
67,right,right,yes
68,right,left,yes
69,right,right,yes
70,right,left,yes
71,right,left,yes
72,right,right,yes
73,right,right,yes
74,right,left,yes
75,right,right,yes
76,right,left,yes
77,right,left,yes
78,right,right,yes
79,left,left,no
80,right,right,yes
81,left,right,no
82,left,left,no
83,left,right,no
84,right,left,yes
85,right,left,yes
86,right,right,yes
87,right,right,yes
88,left,left,no
89,right,left,yes
90,right,right,yes
91,right,right,yes
92,right,left,yes
93,left,left,no
94,right,right,yes
95,right,right,yes
96,right,left,yes
97,right,right,yes
98,right,left,yes
99,right,left,yes
100,right,right,yes
101,right,right,yes
102,right,left,yes
103,right,left,yes
104,right,right,yes
105,right,right,yes
106,right,left,yes
107,right,right,yes
108,right,left,yes
109,right,right,yes
110,right,left,yes
111,right,left,yes
112,right,right,yes
113,right,right,yes
114,right,left,yes
115,right,right,yes
116,left,left,no
117,right,right,yes
118,right,left,yes
119,right,left,yes
120,right,right,yes
121,right,right,yes
122,left,left,no
123,right,right,yes
124,left,left,no
125,right,left,yes
126,right,right,yes
127,right,right,yes
128,right,left,yes
129,right,right,yes
130,right,left,yes
131,right,left,yes
132,right,right,yes
133,right,left,yes
134,right,right,yes
135,right,left,yes
136,right,right,yes
137,right,left,yes
138,right,right,yes
139,right,left,yes
140,left,right,no
141,right,left,yes
142,right,right,yes
143,right,right,yes
144,right,left,yes
145,right,right,yes
146,right,left,yes
147,right,right,yes
148,right,left,yes
149,right,right,yes
150,right,left,yes
151,right,right,yes
152,right,left,yes
153,right,right,yes
154,right,left,yes
155,right,left,yes
156,right,right,yes
157,right,right,yes
158,right,left,yes
159,right,left,yes
160,right,right,yes
161,right,left,yes
162,right,right,yes
163,left,right,no
164,right,left,yes
165,right,right,yes
166,right,left,yes
167,right,left,yes
168,right,right,yes
169,right,right,yes
170,right,left,yes
171,right,left,no
172,right,right,yes
173,right,right,yes
174,right,left,no
175,right,right,yes
176,right,left,no
177,right,left,no
178,right,right,yes
179,right,left,no
180,right,right,yes
181,right,right,yes
182,left,left,yes
183,left,right,no
184,right,left,no
185,right,right,yes
186,right,left,no
187,right,right,yes
188,right,left,no
189,right,right,yes
190,right,left,no
191,right,left,no
192,right,right,yes
193,right,right,yes
194,right,left,no
195,right,left,no
196,right,right,yes
197,right,right,yes
198,right,left,no
199,right,left,no
200,right,right,yes
201,right,right,yes
202,left,left,yes
203,right,right,yes
204,right,left,no
205,right,left,no
206,right,right,yes
207,right,right,yes
208,right,left,no
209,right,left,no
210,right,right,yes
211,left,right,no
212,left,left,yes
213,left,left,yes
214,right,right,yes
215,right,right,yes
216,right,left,no
217,right,right,yes
218,right,left,no
219,right,left,no
220,right,right,yes
221,right,right,yes
222,right,left,no
223,right,left,no
224,right,right,yes
225,right,left,no
226,right,right,yes
227,right,right,yes
228,left,left,yes
229,right,left,no
230,right,right,yes
231,right,right,yes
232,right,left,no
233,right,left,no
234,right,right,yes
235,right,right,yes
236,right,left,no
237,right,left,no
238,right,right,yes
239,right,right,yes
240,right,left,no
241,right,left,no
242,right,right,yes
243,right,left,no
244,right,right,yes
245,right,right,yes
246,right,left,no
247,right,left,no
248,right,right,yes
249,right,left,no
250,right,right,yes
251,right,left,no
252,right,right,yes
253,right,left,no
254,right,right,yes
255,right,left,no
256,right,right,yes
257,right,right,yes
258,right,left,no
259,right,right,yes
260,right,left,no
261,right,right,yes
262,left,left,yes
263,left,right,no
264,right,left,no
265,right,right,yes
266,right,left,no
267,right,right,yes
268,right,left,no
269,right,right,yes
270,right,left,no
271,right,right,yes
272,right,left,no
273,right,right,yes
274,right,left,no
275,right,right,yes
276,right,left,no
277,right,right,yes
278,left,left,yes
279,left,left,yes
280,right,right,yes
281,right,right,yes
282,right,left,no
283,right,left,no
284,right,right,yes
285,right,left,no
286,right,right,yes
287,right,right,yes
288,right,left,no
289,right,right,yes
290,left,left,yes
291,right,left,no
292,right,right,yes
293,right,right,yes
294,right,left,no
295,right,left,no
296,right,right,yes
297,right,right,yes
298,right,left,no
299,right,right,yes
300,right,left,no
301,right,left,no
302,right,right,yes
303,right,right,yes
304,right,left,no
305,right,right,yes
306,left,left,yes
307,right,right,yes
308,right,left,no
309,right,right,yes
310,right,left,no
311,right,left,no
312,right,right,yes
313,right,left,no
314,right,right,yes
315,right,right,yes
316,right,left,no
317,right,left,no
318,right,right,yes
319,right,right,yes
320,right,left,no
321,right,right,yes
322,right,left,no
323,right,right,yes
324,right,left,no
325,right,right,yes
326,right,left,no
327,right,left,no
328,right,right,yes
329,right,left,no
330,right,right,yes
331,right,right,yes
332,left,left,yes
333,left,left,yes
334,right,right,yes
335,right,right,yes
336,left,left,yes
337,right,right,yes
338,right,left,no
339,right,left,no
340,right,right,yes
341,right,left,no
342,right,right,yes
343,right,left,no
344,right,right,yes
345,left,left,yes
346,right,right,yes
347,right,right,yes
348,right,left,no
349,right,right,yes
350,right,left,no
351,right,left,no
352,right,right,yes
353,right,left,no
354,right,right,yes
355,right,right,yes
356,right,left,no
357,right,right,yes
358,right,left,no
359,right,right,yes
360,right,left,no
361,right,right,yes
362,right,left,no
363,right,right,yes
364,right,left,no
365,left,left,yes
366,right,right,yes
367,right,right,yes
368,right,left,no
369,right,left,no
370,right,right,yes
371,right,left,no
372,right,right,yes
373,left,left,yes
374,right,right,yes
375,right,left,no
376,right,right,yes
377,right,left,no
378,right,right,yes
379,right,left,no
380,right,right,yes
381,right,left,no
382,right,right,yes
383,right,left,no
384,right,right,yes
385,right,right,yes
386,right,left,no
387,right,right,yes
388,right,left,no
389,right,left,no
390,right,right,yes
391,right,right,yes
392,left,left,yes
393,right,right,yes
394,right,left,no
395,right,right,yes
396,right,left,no
397,right,right,yes
398,right,left,no
399,right,right,yes
400,right,left,no
401,left,left,yes
402,right,right,yes
403,left,right,no
404,right,left,no
405,right,right,yes
406,right,left,no
407,right,right,yes
408,right,left,no
409,right,right,yes
410,right,left,no
411,right,right,yes
412,right,left,no
413,right,left,no
414,right,right,yes
415,left,left,yes
416,left,right,no
417,right,right,yes
418,right,left,no
419,right,right,yes
420,left,left,yes
421,right,right,yes
422,right,left,no
423,left,left,yes
424,right,right,yes
425,right,left,no
426,right,right,yes
427,right,right,yes
428,right,left,no
429,right,left,no
430,right,right,yes
431,right,right,yes
432,right,left,no
433,right,right,yes
434,right,left,no
435,right,left,no
436,right,right,yes
437,right,right,yes
438,left,left,yes
439,left,left,yes
440,right,right,yes
441,right,left,no
442,right,right,yes
443,right,left,no
444,right,right,yes
445,left,right,no
446,right,left,no
447,right,right,yes
448,left,left,yes
449,right,left,no
450,right,right,yes
451,right,right,yes
452,left,left,yes
453,right,right,yes
454,left,left,yes
455,left,right,no
456,right,left,no
457,left,right,no
458,left,left,yes
459,left,left,yes
460,right,right,yes
461,left,left,yes
462,right,right,yes
463,left,left,yes
464,right,right,yes
465,right,right,yes
466,left,left,yes
467,right,left,no
468,right,right,yes
469,right,right,yes
470,left,left,yes
471,right,right,yes
472,left,left,yes
473,right,right,yes
474,left,left,yes
475,right,right,yes
476,right,left,no
477,right,left,no
478,right,right,yes
479,right,right,yes
480,right,left,no
481,left,left,yes
482,right,right,yes
483,right,right,yes
484,left,left,yes
485,left,left,yes
486,right,right,yes
487,right,right,yes
488,left,left,yes
489,right,right,yes
490,left,left,yes
491,right,left,no
492,left,right,no
493,right,right,yes
494,left,left,yes
495,left,left,yes
496,right,right,yes
497,right,left,no
498,left,right,no
499,right,left,no
500,right,right,yes
501,left,left,yes
502,right,right,yes
503,left,left,yes
504,right,right,yes
505,right,right,yes
506,left,left,yes
507,right,left,no
508,left,right,no
509,right,right,yes
510,left,left,yes
511,right,right,yes
512,left,left,yes
513,left,left,yes
514,left,right,no
515,left,right,no
516,right,left,no
517,right,left,no
518,right,right,yes
519,left,left,yes
520,right,right,yes
521,right,left,no
522,right,right,yes
523,left,left,yes
524,right,right,yes
525,left,left,yes
526,right,right,yes
527,right,right,yes
528,right,left,no
529,right,right,yes
530,left,left,yes
531,left,left,yes
532,left,right,no
533,left,left,yes
534,right,right,yes
535,right,left,no
536,right,right,yes
537,left,right,no
538,right,left,no
539,left,left,yes
540,right,right,yes
541,left,left,yes
542,right,right,yes
543,right,right,yes
544,right,left,no
545,right,left,no
546,right,right,yes
547,right,right,yes
548,right,left,no
549,right,right,yes
550,right,left,no
551,right,right,yes
552,right,left,no
553,left,left,yes
554,right,right,yes
555,left,left,yes
556,right,right,yes
557,right,left,no
558,right,right,yes
559,right,right,yes
560,right,left,no
561,left,left,yes
562,right,right,yes
563,left,left,yes
564,right,right,yes
565,right,left,no
566,right,right,yes
567,right,right,yes
568,left,left,yes
569,left,right,no
570,right,left,no
571,left,right,no
572,left,left,yes
573,left,left,yes
574,left,right,no
575,right,right,yes
576,left,left,yes
577,right,right,yes
578,left,left,yes
579,left,left,yes
580,left,right,no
581,left,right,no
582,left,left,yes
583,right,left,no
584,right,right,yes
585,right,left,no
586,right,right,yes
587,right,left,no
588,right,right,yes
589,left,right,no
590,left,left,yes
591,right,right,yes
592,left,left,yes
593,left,left,yes
594,right,right,yes
595,left,right,no
596,right,left,no
597,right,right,yes
598,left,left,yes
599,right,right,yes
600,right,left,no
601,right,left,no
602,right,right,yes
603,right,left,no
604,right,right,yes
605,right,left,no
606,right,right,yes
607,right,left,no
608,right,right,yes
609,left,left,yes
610,right,right,yes
611,right,right,yes
612,right,left,no
613,right,right,yes
614,right,left,no
615,right,left,no
616,left,right,no
617,right,left,no
618,left,right,no
619,left,left,yes
620,left,right,no
621,right,right,yes
622,left,left,yes
623,right,right,yes
624,left,left,yes
625,left,left,yes
626,right,right,yes
627,right,right,yes
628,left,left,yes
629,left,left,yes
630,left,right,no
631,right,right,yes
632,left,left,yes
633,left,right,no
634,right,left,no
635,left,left,yes
636,right,right,yes
637,right,left,no
638,right,right,yes
639,left,left,yes
640,right,right,yes
641,right,right,yes
642,left,left,yes
643,left,left,yes
644,right,right,yes
645,right,right,yes
646,right,left,no
647,right,left,no
648,right,right,yes
649,right,right,yes
650,left,left,yes
651,left,left,yes
652,left,right,no
653,right,right,yes
654,left,left,yes
655,left,left,yes
656,left,right,no
657,left,right,no
658,left,left,yes
659,right,right,yes
660,left,left,yes
661,left,left,yes
662,right,right,yes
663,right,right,yes
664,left,left,yes
665,left,right,no
666,left,left,yes
667,right,right,yes
668,left,left,yes
669,right,right,yes
670,left,left,yes
671,right,left,no
672,right,right,yes
673,left,left,yes
674,right,right,yes
675,right,left,no
676,right,right,yes
677,right,right,yes
678,right,left,no
679,right,right,yes
680,left,left,yes
681,left,left,yes
682,right,right,yes
683,right,right,yes
684,left,left,yes
685,right,right,yes
686,right,left,no
687,left,left,yes
688,right,right,yes
689,right,right,yes
690,right,left,no
691,right,left,no
692,right,right,yes
693,right,left,no
694,right,right,yes
695,left,right,no
696,left,left,yes
697,left,left,yes
698,right,right,yes
699,right,left,no
700,right,right,yes
701,right,right,yes
702,left,left,yes
703,right,right,yes
704,right,left,no
705,right,right,yes
706,left,left,yes
707,left,left,yes
708,right,right,yes
709,left,left,yes
710,right,right,yes
711,left,right,no
712,left,left,yes
713,left,right,no
714,left,left,yes
715,left,left,yes
716,right,right,yes
717,right,right,yes
718,right,left,no
719,right,right,yes
720,left,left,yes
721,right,left,no
722,right,right,yes
723,left,right,no
724,left,left,yes
725,right,right,yes
726,left,left,yes
727,left,left,yes
728,right,right,yes
729,left,left,yes
730,right,right,yes
731,left,left,yes
732,right,right,yes
733,left,left,yes
